authorId,name,aliases,citationCount,papers,fieldsOfStudy
144916045,G. Evangelista,"['G Evangelista', 'G. Evangelista', 'Gianpaolo Evangelista']",1111,,Physics
1780250,R. V. D. Meyden,"['R. Van Der Meyden', 'Ron Van Der Meyden']",3090,,Sociology
144622527,Sean J. Taylor,"['Sean J Taylor', 'Sean Taylor']",1806,,Psychology
1873338,U. Dulleck,"['U Dulleck', 'Uwe Dulleck']",2930,,Sociology
48187206,A. Mueen,"['A. Mueen', 'Abdullah Mueen', 'Abdullah Al Mueen']",5686,,Physics
120669319,Verena Benoit,,20,,Sociology
46677579,J. Rohrer,"['J.m. Rohrer', 'Julia Rohrer', 'Julia Marie Rohrer', 'Julia M Rohrer', 'Julia M. Rohrer']",1104,,Sociology
1900330591,Robbert Nicolai van de Velde,['Rob Van De Velde'],80,,Sociology
1741633559,Andrew P. Clausen,['Andrew Clausen'],125,,Sociology
39416694,Y. Katz,"['Yaacov J Katz', 'Y J Katz', 'Yaacov J. Katz', 'Y. J. Katz', 'Yaacov Julian Katz', 'Yaacov Katz']",1945,,Sociology
2070671570,P. Bearman,"['P. Bearman', 'Peter Bearman', 'Peter S. Bearman', 'Peter Shawn Bearman']",1676,,Sociology
1715912,J. Helin,"['J Helin', 'J. Helin', 'Jukka Helin']",70,,Computer Science
153805031,T. Usui,"['T. Usui', 'Tsukasa Usui']",7,,Psychology
2062853474,Nada Hashmi,,1920,,Psychology
2201310599,Patrik Szigeti,,0,,Physics
6150496,J. Makani,"['J Makani', 'J. B Makani', 'Julie Makani', 'J. Makani', 'J B Makani']",4228,,Psychology
153489523,M. Roth,"['M. Roth', 'M Roth', 'Martin M. Roth', 'M. M. Roth', 'Markus Roth', 'M M Roth']",23475,,Physics
2027840462,G. Gilli,"['G. Gilli', 'Gabriella Gilli', 'Gabriella Maria Gilli', 'Gabriella M. Gilli']",603,,Psychology
3402142,T. Calarco,"['T Calarco', 'T. Calarco', 'Tom Calarco', 'Tommaso Calarco']",7578,,Political Science
2140116999,Viraj Thakur,,0,,Computer Science
1388584414,D. Baldassarre,"['D Baldassarre', 'Daniel Baldassarre', 'Daniela Baldassarre']",14,,None
1444653601,G. Alexianu-Buttu,,1,,Chemistry
3054340,Jeana Kamdar,,14,,Political Science
1746034,L. Getoor,"['L Getoor', 'Lise Getoor']",22220,,Sociology
49563772,N. Dimkovic,"['N Dimkovic', 'N B Dimkovic', 'Nada B. Dimković', 'N.b. Dimkovic', 'N. Dimkovic', 'Nada B. Dimkovic', 'Nada Dimković', 'Nada Dimkovic', 'N. Dimković', 'N Dimković']",2394,,Physics
31303906,M. Rivers,"['M.c. Rivers', 'M. Rivers', 'M. C. Rivers', 'Malin C Rivers', 'Malin Rivers', 'Malin C. Rivers']",1494,,None
2115448009,Ming Wang,['Ming Fu Wang'],144,,None
2750486,E. Valdano,"['E. Valdano', 'Eugenio Valdano']",2019,,Physics
145786955,M. Kendall,"['M Kendall', 'M. Kendall', 'Michelle D. Kendall', 'Michelle Kendall']",3444,,Sociology
94045518,P. Battiston,"['P. Battiston', 'Pietro Battiston']",142,,Sociology
2145928448,Min Seo Kim,,1574,,Medicine
1491885012,W. S. Noble,"['W. S. Noble', 'William S Noble', 'William S. Noble', 'William Stafford Noble']",7184,,None
72280751,D. Kooijman,"['D. Kooijman', 'Dion Kooijman', 'D. C. Kooijman']",248,,Sociology
3365500,Ljudmila A. Bordag,,812,,Physics
2073483371,W. Sanderson,"['W. Williamson J. Sanderson', 'Warren Sanderson']",22,,None
2991484,Maria Panteli,['Marianna Panteli'],288,,Psychology
41152329,Esin Durmus,,1365,,Psychology
37147319,G. A. Miller,"['G A Miller', 'G. A. Miller', 'Gabriel A. Miller', 'Gabriel A Miller']",419,,Sociology
2109779355,Wei-qiu Chen,"['Wei-qiu Chen', 'Weiqiu Chen', 'Weiqi Chen', 'Wei‐qiu Chen']",11459,,Physics
2669854,J. Hunkin,"['J L Hunkin', 'J. L. Hunkin', 'Janice L Hunkin', 'Janice Hunkin']",1888,,Psychology
2066553317,M. Rasmussen,"['M. S. Rasmussen', 'Maren Rasmussen']",139,,Physics
2180122041,A. L. Li Zhao,"['Andong L. Li Zhao', 'Andong Luis Li Zhao']",0,,None
2064732957,Cornelia Castro,['Cornélia Castro'],36,,Psychology
2143966141,Yue Hu,,10,,None
95843216,D. Warner,"['D. Warner', 'David S Warner', 'David S. Warner', 'D Warner', 'David Warner']",8250,,Physics
31791587,M. Carpenter,"['M. Carpenter', 'Marshall Carpenter', 'Marshall Y Carpenter', 'Marshall Y. Carpenter']",62,,Physics
1689332,S. Kasif,"['S Kasif', 'S. Kasif', 'Simon Kasif']",31208,,Sociology
73734487,Dritan Blenco,,0,,Computer Science
30055755,J. Vogels,"['J. M. Vogels', 'John Vogels', 'J. M. M. J. Vogels', 'Johnny Vogels', 'J.m.m.j. Vogels', 'J.m. Vogels', 'J M Vogels']",2656,,Physics
50206908,B. Mooi,['Bianca Mooi'],15,,Psychology
49199205,Thalita Dias Coleman,,10,,Computer Science
40614299,N. Brassard,"['N Brassard', 'N. Brassard', 'Nathalie 5 Brassard', 'Nathalie Brassard']",2207,,None
3130592,P. Sacco,"['P L Sacco', 'P. L. Sacco', 'Pier L. Sacco', 'Pier Luigi Sacco', 'Pierluigi Sacco']",2726,,Sociology
2153642685,Yu Zhang,,270,,None
47450657,K. Esterling,"['K. M. Esterling', 'Kevin M. Esterling', 'Kevin Esterling', 'Kevin M Esterling']",2379,,Sociology
145724348,V. Nicosia,"['V Nicosia', 'V. Nicosia', 'Vincenzo Nicosia']",5605,,Sociology
2036795676,N. Al-Emadi,"['Noor Al-emadi', 'Noora Al-emadi', 'Noora Abdulla Al-emadi']",1,,None
40654313,D. Nowak,"['Daniel Nowak', 'Daniel Anthony Nowak']",0,,None
96989036,Anna Cristini,['Annalisa Cristini'],33,,Political Science
1403651727,Ghislaine Argoud-Puy,['Ghislaine Argoud‐puy'],10872,,None
3089272,R. Monga,"['R. Monga', 'Rajat Monga']",33555,,None
2679545,P. Ramaswami,"['P. Ramaswami', 'Prem Ramaswami']",118,,History
8359709,N. Kuehl,"['N. Kuehl', 'Niklas Kuehl']",95,,Geology
16201924,F. J. Bonecutter,"['F J Bonecutter', 'Faith Johnson Bonecutter']",261,,None
