names
Huimin Xu
Hyejin Youn
Hywel Williams
Iacopo Pozzana
Iain Couzin
Ian Wood
Ifat Emi
Igor Krawczuk
Ilse Pit
Ilya Musabirov
Ingmar Weber
Ioannis K. Dassios
Iraklis Moutidis
Irina Vartanova
Isaac Waller
Isabel Valera
Isabella Loaiza
Isabelle Tingzon
Isak Ladegaard
Itto Kornecki
Ivan Garibay
Ivan Smirnov
Ivan Yamshchikov
Iyad Rahwan
Jaap van Den Herik
Jacob G. Foster
Jacob Miller
Jaehyuk Park
Jaime Oliver
Jake Hofman
Jakob Palinger
James Evans
James Gleeson
James P. Gleeson
Jan Overgoor
Jan Van Bavel
Jan van der Laan
Jana Diesner
Janina Beckmann
Janos Kertesz
Jara Figueroa
Jaron Harambam
Jasser Jasser
Javier Alvarez-Galvez
Javier Garcia-Bernardo
Je Hoon Chae
Jeff Lockhart
Jennifer Allen
Jennifer Fest
Jennifer Gewinner
Jennifer Van Hook
Jens Hainmueller
Jens Wäckerle
Jeremy Burke
Jeroen Bruggeman
Jeroen van Den Ochtend
Jeroen van den Hoven
Jesse Hoey
Jesse Shore
Jessica Hullman
Jianjian Gao
Jianjun Sun
Jianliang Yang
Jichao Li
Jieyu Ding
Jing Zeng
Jingwen Zhang
Jisun An
Joachim Piepenburg
Joana Gonçalves-Sá
Joana Mendonça
Joanna Sterling
Johan Bollen
Johan Koskinen
Johan Ugander
Johannes Bjelland
Johannes Gruber
Johannes Wachs
John Hagan
John Lach
John Skvoretz
John Stankovic
John T. Murphy
Johnnatan Messias
Jonathan Bright
Jonathan H. Morgan
Joris Broere
Joseph Bajjalieh
Joshua Becker
Joshua Blumenstock
Jota Resende
Judith Kas
Judith Moeller
Juhi Kulshrestha
Julian Kohne
Juliano Cavalli
Jungseock Joo
Junichi Ozaki
Junjun Yin
Jussara Almeida
János Kertész
Kai Larsen
Kai Zhou
Kangsan Lee
Karrie Karahalios
Karsten Donnay
Kasper Welbers
Kate Furman
Katherine A. Cronin
Katherine Engelke
Kayla de la Haye
Kazutoshi Sasahara
Kevin S. Chan
Khyati Mahajan
Kieran Mepham
Kimmo Eriksson
Kimmo Kaski
Kimon Kieslich
Kinga Makovi
Kiran Garimella
Kirill Martynov
Kirk Bansak
Kiyoshi Izumi
Kleber A. Oliveira
Koen Schoors
Kokil Jaidka
Kostas Stathoulopoulos
Krishna Gummadi
Kristina Gligoric
Kristina Lerman
Kyriacos Vitalis
Kyriaki Kalimeri
Lada Adamic
Laszlo Barabasi
Laszlo Lorincz
Laura Bringmann
Lee Giles
Lee Woon
Leila Zia
Liat Ayalon
Lijun Sun
Lilia Perfeito
Lin Wang
Linda Steg
Lingfei Wu
Lingqing Jiang
Lisa Merten
Lise Getoor
Lisette Espín-Noboa
Lorena Cano-Orón
Lorenzo Lucchini
Loretta Auvil
Lorien Jasny
Lu Liu
Luca Verginer
Luce le Gorrec
Ludo Waltman
Luis Amaral
Luis C. Reyes
Luis M. Rocha
Lukas Fervers
Luke Stark
Lushi Chen
Maayan Levinson
Madeline Schiappa
Maheswari Gollapudi
Mahmoudreza Babaei
Maksim Tsvetovat
Manal Saadi
Manikumar Perla
Manlio De Domenico
Mansi Sharma
Manuel Cebrian
Manuel Garcia-Herranz
Marc Keuschnigg
Marcel Wittich
Marcella Morris
Marcin Waniek
Marco Brambilla
Marco De Nadai
Marco Schmitt
Marco Tomassini
Margaret McConnell
Maria Aiello
Maria Bolsinova
Maria Campedelli
Maria Wolters
Mariano Gastón Beiró
Marie Lindegaard
Mariken A.C.G. van der Velden
Mariluz Congosto
Marina Petrova
Marios Dikaiakos
Marisa Vasconcelos
Marita Jacob
Marius Sältzer
Mark Alfano
Mark Levene
Mark Musen
Markus Meierer
Markus Mobius
Markus Strohmaier
Marta C. Gonzalez
Marta Rivera-Alba
Martijn Schoonvelde
Martin Hilbert
Martin Lukac
